id0,id1,id2,school_state,resource_type,poverty_level,total_donations,date_posted
"""7342bd01a2a7725ce033a179d22e382d""","""5c43ef5eac0f5857c266baa1ccfa3d3f""","""9e72d6f2f1e9367b578b6479aa5852b7""","""NY""","""Supplies""","""highest poverty""","""229.00""","""2002-09-13 00:00:00"""
"""ed87d61cef7fda668ae70be7e0c6cebf""","""1f4493b3d3fe4a611f3f4d21a249376a""","""1ae4695be589a36816188e2b301a0395""","""NY""","""Books""","""highest poverty""","""125.00""","""2002-09-13 00:00:00"""
"""b56b502d25666e29550d107bf7e17910""","""57426949b47700ccf62098e1e9b0220c""","""4a06a328dd87bd29892d73310052f45f""","""NY""","""Supplies""","""moderate poverty""","""125.00""","""2002-09-16 00:00:00"""
"""016f03312995d5c89d6b348be4682166""","""9c0aa56b63b743454d6da9effcf122fc""","""bb0af5dac1b54693ba86ef63eacd6594""","""NY""","""Supplies""","""high poverty""","""187.00""","""2002-09-17 00:00:00"""
"""cf6275558534ca1b276b0d8d5130dd9a""","""1d4d8a42730dbb66af1ebb6ab37456b7""","""768dab263f87881fe7c68ffb3965df7c""","""NY""","""Supplies""","""highest poverty""","""240.00""","""2002-09-17 00:00:00"""
"""0b8a4f8eb1822ab6dd5cd9ffb918ece3""","""e5d28482308e2007992ae8b358b31bce""","""9bc7d4d92193a453669b6e2a56128e87""","""NY""","""Technology""","""highest poverty""","""1129.00""","""2002-09-17 00:00:00"""
"""d25a7dd645bdfb4d702f177cef5e0d8e""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""289.00""","""2002-09-17 00:00:00"""
"""0b9607c9d3deb8b493653ed4f998fc38""","""454840ad7f58f2486203f73ee78ea2d5""","""0fad38af2fb328dd01bd3cef38ed42f2""","""NY""","""Supplies""","""highest poverty""","""231.00""","""2002-09-17 00:00:00"""
"""e24d8bb3d268a7c837077fa07c153063""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""348.70""","""2002-09-17 00:00:00"""
"""0d97d7543a766a07b3acf2c732844e85""","""d41b22314bd46c30150e50c4c78bc128""","""9bd4079c3ace16b8059eda8a42ce79fb""","""NY""","""Supplies""","""highest poverty""","""456.00""","""2002-09-17 00:00:00"""
"""eb886a0ef1f498eb88f774947d3d02d7""","""b55921c6a3999b1f63e6ef69966b79aa""","""993e6202ffb7607f9b9ce616dd29140c""","""NY""","""Other""","""highest poverty""","""525.00""","""2002-09-17 00:00:00"""
"""182f1734c1c6ec13d5544c17cfe838ec""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""330.00""","""2002-09-17 00:00:00"""
"""25afa366264801de896a9cdea0e64ae2""","""c0ff926aa5705245f70073bc7469e038""","""b5999531e0c1bb628ace29f3bd892e7c""","""NY""","""Supplies""","""highest poverty""","""390.00""","""2002-09-17 00:00:00"""
"""2baeda61bab17a9ffdb5652e9c43512b""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""462.00""","""2002-09-17 00:00:00"""
"""373107de43223f012a3b66ae409e8c32""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""258.75""","""2002-09-17 00:00:00"""
"""3a88a47f97bd0c9b7c6a745bcd831ce3""","""7a20087fac86232883537cab45c0a6c9""","""66d08b506d2f3c30dec9e6fdb03cc279""","""NY""","""Trips""","""highest poverty""","""1835.00""","""2002-09-17 00:00:00"""
"""3b5f4ae59d96f719dec6e72f1d10bd28""","""6504d611038542e638f54899caf35993""","""9ce97ca91e28b8493e9a911058f7dc24""","""NY""","""Books""","""moderate poverty""","""309.00""","""2002-09-17 00:00:00"""
"""4338725801f6ce84e1d10b912ad21d91""","""b218f64064e174657336d229e2231962""","""52835c082f36edc0c90aff0c11a2e9b3""","""NY""","""Books""","""highest poverty""","""705.00""","""2002-09-17 00:00:00"""
"""45235cb116b3b35cd86d1c3a63961d7d""","""214d75bd0e6ce3e7085278ddd8f26daa""","""f7f12dee0009e6f9afa301bcca9d5070""","""NY""","""Technology""","""highest poverty""","""83.00""","""2002-09-17 00:00:00"""
"""5821ee8eaab15a3bef73f118188c9505""","""6ace63f88c1e30fa52e57a6ea1999ecd""","""6f0382325857ae3469d04800c470c509""","""NY""","""Supplies""","""low poverty""","""291.00""","""2002-09-17 00:00:00"""
"""6ba3b9d6d88a79dfa1acf5f3fcfa3776""","""0bebe562cdbcf7b14a1dd5f9793a7fd4""","""5307fce11b85e6ca6618448b1a3a075d""","""NY""","""Books""","""highest poverty""","""243.00""","""2002-09-17 00:00:00"""
"""702ef0896a72c258affa87e67b3462ef""","""e11a44441e604753223fb83ed1e5ef22""","""7e6d4e9ce212bbcc7ca208c3779095be""","""NY""","""Technology""","""highest poverty""","""331.00""","""2002-09-17 00:00:00"""
"""738da8a7dfd933a291bbc5d03949794a""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""278.00""","""2002-09-17 00:00:00"""
"""77e3b131ee90f011f937110e8e8e9cf4""","""b218f64064e174657336d229e2231962""","""52835c082f36edc0c90aff0c11a2e9b3""","""NY""","""Supplies""","""highest poverty""","""819.00""","""2002-09-17 00:00:00"""
"""7844d34a23f05c7836c1ea64355cd851""","""982142b095e3df0ddebc12384e464b49""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""864.00""","""2002-09-17 00:00:00"""
"""875534be2b101957c5083af745f68d50""","""84fd42b69d0db5710f09905939b366fe""","""5e4af81adba8db885dc6879c34cd5a57""","""NY""","""Technology""","""moderate poverty""","""340.00""","""2002-09-17 00:00:00"""
"""912e8cd1a736d2653db1fa91437a95af""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""346.00""","""2002-09-17 00:00:00"""
"""97b50c1fef7c22945f16571f5ac5e562""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""334.00""","""2002-09-17 00:00:00"""
"""9caf2d27a918a9769bb1f4e345416f4b""","""0c2d4535f03991165dc72092840d672b""","""cabcc3ed826056c3969a8a99c5aeeaf6""","""NY""","""Books""","""highest poverty""","""146.00""","""2002-09-17 00:00:00"""
"""a2b95aabc7e8518b58815d6855da95f2""","""6ace63f88c1e30fa52e57a6ea1999ecd""","""6f0382325857ae3469d04800c470c509""","""NY""","""Supplies""","""low poverty""","""413.00""","""2002-09-17 00:00:00"""
"""afdb477cc1ecfdce9996f3c122718732""","""e11a44441e604753223fb83ed1e5ef22""","""7e6d4e9ce212bbcc7ca208c3779095be""","""NY""","""Technology""","""highest poverty""","""125.00""","""2002-09-17 00:00:00"""
"""b0c7d8044cb170d9769079b5b2984538""","""f345f1ff1b7e98ce3d4bf67b2517eddc""","""74069ee85f6d41fd039befcb64107b5f""","""NY""","""Supplies""","""highest poverty""","""120.00""","""2002-09-17 00:00:00"""
"""6c245532a3b0f171793002d4715cf9e1""","""9f68abe6a2efc88a18a0349833b5abd1""","""45e7ddbdd7023f1eb65a6cc028d7414f""","""NY""","""Books""","""highest poverty""","""1322.00""","""2002-09-18 00:00:00"""
"""7674ea1a4ce47c33a1e6cc91aa95798f""","""1721969ce0202a333c659611021b59e9""","""25a6916107edd02ef794718deda02ba2""","""NY""","""Supplies""","""highest poverty""","""1200.00""","""2002-09-18 00:00:00"""
"""b7a3a77b78dd04e630302fab34cefd3b""","""22f9173bddc8020f1a9ce1d2778a441e""","""0fad38af2fb328dd01bd3cef38ed42f2""","""NY""","""Books""","""highest poverty""","""329.00""","""2002-09-19 00:00:00"""
"""0050d3ad7f0808990a8dabf7c1361e10""","""99c2f2cbae7c3ff11f5f19802a8da666""","""2282e2d44a998c223a53d8bb9de7f182""","""NY""","""Supplies""","""high poverty""","""570.00""","""2002-09-19 00:00:00"""
"""b81474ac68d6b7fa20cfd4b7a49a9158""","""0bebe562cdbcf7b14a1dd5f9793a7fd4""","""5307fce11b85e6ca6618448b1a3a075d""","""NY""","""Supplies""","""highest poverty""","""212.00""","""2002-09-19 00:00:00"""
"""02f1dc703bf33b84408e7913a09d101c""","""35e24c6b1f956a3ee72ecee1d304a4eb""","""8474659db4ef6cb7b9c1abab8e9378b9""","""NY""","""Supplies""","""highest poverty""","""250.00""","""2002-09-19 00:00:00"""
"""bd18a7315512f4875ab448b808c20ca4""","""e49da3024557975acd92ded003f8be9b""","""14349e3143014e8607d85ebf84ac1208""","""NY""","""Supplies""","""highest poverty""","""443.00""","""2002-09-19 00:00:00"""
"""02fa919306d0a181ed20888cca81f825""","""e3751e935d13de6b37864194955d1548""","""aab7207b58c29df564e721b9bff5f4d9""","""NY""","""Books""","""highest poverty""","""388.00""","""2002-09-19 00:00:00"""
"""be8f93350002fb698c6c9456575d4aa9""","""0a70eab3ae2379be269eb8b0cb24a5ac""","""41617f10203b70d123f0ce1b3f163e9e""","""NY""","""Books""","""highest poverty""","""978.00""","""2002-09-19 00:00:00"""
"""07ed7cebb18a0df4a65014910bb50c40""","""ebb627d0f8c3689423a23038203cb64f""","""404b04de35ab895c49c1bf504b76c8a2""","""NY""","""Supplies""","""highest poverty""","""210.00""","""2002-09-19 00:00:00"""
"""c2f625d4608f3639c8637f385568c04e""","""ebb627d0f8c3689423a23038203cb64f""","""404b04de35ab895c49c1bf504b76c8a2""","""NY""","""Books""","""highest poverty""","""546.00""","""2002-09-19 00:00:00"""
